"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 03:34:28 GMT 2023","Tue Apr 18 03:34:29 GMT 2023","719","chromium","example.spec.js","","","","has title",""
"failed","Tue Apr 18 03:34:44 GMT 2023","Tue Apr 18 03:34:45 GMT 2023","898","webkit","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 03:34:29 GMT 2023","Tue Apr 18 03:34:30 GMT 2023","552","chromium","example.spec.js","","","","get started link",""
"passed","Tue Apr 18 03:34:30 GMT 2023","Tue Apr 18 03:34:30 GMT 2023","474","chromium","example2.spec.js","","","","get started link 02",""
"failed","Tue Apr 18 03:34:48 GMT 2023","Tue Apr 18 03:34:49 GMT 2023","900","webkit","example2.spec.js","","","","has title 02",""
"passed","Tue Apr 18 03:34:31 GMT 2023","Tue Apr 18 03:34:34 GMT 2023","3455","firefox","example.spec.js","","","","has title",""
"passed","Tue Apr 18 03:34:36 GMT 2023","Tue Apr 18 03:34:37 GMT 2023","984","firefox","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 03:34:35 GMT 2023","Tue Apr 18 03:34:36 GMT 2023","684","firefox","example2.spec.js","","","","has title 02",""
"failed","Tue Apr 18 03:34:41 GMT 2023","Tue Apr 18 03:34:41 GMT 2023","880","webkit","example.spec.js","","","","has title",""
"passed","Tue Apr 18 03:34:34 GMT 2023","Tue Apr 18 03:34:35 GMT 2023","1091","firefox","example.spec.js","","","","get started link",""
"failed","Tue Apr 18 03:34:52 GMT 2023","Tue Apr 18 03:34:53 GMT 2023","878","webkit","example2.spec.js","","","","get started link 02",""
"passed","Tue Apr 18 03:34:30 GMT 2023","Tue Apr 18 03:34:30 GMT 2023","336","chromium","example2.spec.js","","","","has title 02",""
